t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz
0.0100,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.4187,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.5731,-11.7372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0668,0.1665,-0.0147,5.5709,2.2283,0.0000
0.0200,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.4533,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.7100,-11.7152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1332,0.3312,-0.0293,5.5708,2.2284,0.0000
0.0300,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.4862,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.8461,-11.6938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1993,0.4941,-0.0436,5.5708,2.2286,0.0000
0.0400,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.5175,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.9814,-11.6731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2652,0.6553,-0.0578,5.5707,2.2288,0.0000
0.0500,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.5472,18.3551,-1.1921,9.2191,0.3600,0.1074,0.0178,6.0000,0.0000,4.0455,4.1268,4.0711,19.1159,-11.6530,18.4354,-11.7598,18.4572,-11.8564,18.4483,-11.8736,18.3569,-12.0500,-0.6805,-0.1068,-0.6587,-0.2034,-0.6676,-0.2206,1,0.0500,1,0,1.0000,0.0000,0.0000,0.3307,0.8147,-0.0717,5.5705,2.2291,0.0000
0.0600,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.5753,18.3362,-1.2391,9.2278,0.3600,0.1074,0.0178,6.0000,0.0000,4.8318,4.9450,4.8635,19.2498,-11.6335,18.4354,-11.7598,18.4572,-11.8564,18.4442,-11.8811,18.3324,-12.0933,-0.8143,-0.1263,-0.7925,-0.2229,-0.8055,-0.2476,1,0.0600,1,0,1.0000,0.0000,0.0000,0.3960,0.9723,-0.0855,5.5704,2.2295,0.0000
0.0700,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.6018,18.3140,-1.2878,9.2381,0.3600,0.1074,0.0179,6.0000,0.0000,5.6162,5.7669,5.6524,19.3829,-11.6146,18.4354,-11.7598,18.4572,-11.8564,18.4393,-11.8899,18.3063,-12.1383,-0.9475,-0.1452,-0.9257,-0.2418,-0.9436,-0.2753,1,0.0700,1,0,1.0000,0.0000,0.0000,0.4609,1.1283,-0.0991,5.5702,2.2300,0.0000
0.0800,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.6268,18.2886,-1.3382,9.2499,0.3600,0.1074,0.0180,6.0000,0.0000,6.3983,6.5920,6.4380,19.5153,-11.5963,18.4354,-11.7598,18.4572,-11.8564,18.4335,-11.9000,18.2786,-12.1849,-1.0799,-0.1635,-1.0581,-0.2601,-1.0818,-0.3037,1,0.0800,1,0,1.0000,0.0000,0.0000,0.5255,1.2825,-0.1125,5.5700,2.2305,0.0000
0.0900,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.6502,18.2601,-1.3901,9.2634,0.3600,0.1074,0.0180,6.0000,0.0000,7.1781,7.4205,7.2208,19.6471,-11.5786,18.4354,-11.7598,18.4572,-11.8564,18.4268,-11.9115,18.2491,-12.2332,-1.2117,-0.1812,-1.1899,-0.2778,-1.2203,-0.3329,1,0.0900,1,0,1.0000,0.0000,0.0000,0.5899,1.4351,-0.1258,5.5697,2.2312,0.0000
0.1000,UKF,smooth,0.500,10.00,0.050,1,0.000,1,19.6722,18.2284,-1.4437,9.2785,0.3600,0.1074,0.0181,6.0000,0.0000,7.9558,8.2522,8.0009,19.7783,-11.5614,18.4354,-11.7598,18.4572,-11.8564,18.4192,-11.9243,18.2179,-12.2832,-1.3429,-0.1984,-1.3211,-0.2950,-1.3591,-0.3628,1,0.1000,1,0,1.0000,0.0000,0.0000,0.6539,1.5860,-0.1388,5.5695,2.2319,0.0000
