t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz
0.0100,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.4193,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.5717,-11.7368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0666,0.1666,-0.0147,5.5437,2.2950,0.0000
0.0200,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.4549,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.7056,-11.7142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1329,0.3314,-0.0292,5.5158,2.3614,0.0000
0.0300,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.4894,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.8374,-11.6919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1987,0.4944,-0.0435,5.4870,2.4274,0.0000
0.0400,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.5227,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.9668,-11.6699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2641,0.6558,-0.0576,5.4575,2.4931,0.0000
0.0500,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.5550,18.3551,-1.1999,9.2191,0.3600,0.1074,0.0187,6.0000,0.0000,3.9326,4.0137,3.9518,19.0941,-11.6483,18.4354,-11.7598,18.4572,-11.8564,18.4486,-11.8737,18.3602,-12.0504,-0.6587,-0.1116,-0.6369,-0.2082,-0.6455,-0.2254,1,0.0500,1,0,1.0000,0.0000,0.0000,0.3290,0.8154,-0.0715,5.4272,2.5584,0.0000
0.0600,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.5862,18.3362,-1.2500,9.2278,0.3600,0.1074,0.0187,6.0000,0.0000,4.6712,4.7838,4.6956,19.2191,-11.6270,18.4354,-11.7598,18.4572,-11.8564,18.4447,-11.8812,18.3372,-12.0940,-0.7837,-0.1329,-0.7619,-0.2295,-0.7744,-0.2542,1,0.0600,1,0,1.0000,0.0000,0.0000,0.3936,0.9733,-0.0852,5.3961,2.6233,0.0000
0.0700,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.6163,18.3140,-1.3022,9.2380,0.3600,0.1074,0.0187,6.0000,0.0000,5.3994,5.5489,5.4274,19.3419,-11.6060,18.4354,-11.7598,18.4572,-11.8564,18.4401,-11.8900,18.3129,-12.1392,-0.9065,-0.1539,-0.8847,-0.2505,-0.9018,-0.2840,1,0.0700,1,0,1.0000,0.0000,0.0000,0.4577,1.1296,-0.0987,5.3643,2.6879,0.0000
0.0800,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.6452,18.2886,-1.3566,9.2499,0.3600,0.1074,0.0186,6.0000,0.0000,6.1168,6.3085,6.1474,19.4625,-11.5853,18.4354,-11.7598,18.4572,-11.8564,18.4347,-11.9002,18.2874,-12.1861,-1.0271,-0.1745,-1.0053,-0.2711,-1.0278,-0.3149,1,0.0800,1,0,1.0000,0.0000,0.0000,0.5213,1.2843,-0.1120,5.3316,2.7521,0.0000
0.0900,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.6731,18.2601,-1.4131,9.2634,0.3600,0.1074,0.0184,6.0000,0.0000,6.8232,7.0623,6.8558,19.5809,-11.5650,18.4354,-11.7598,18.4572,-11.8564,18.4285,-11.9117,18.2605,-12.2348,-1.1455,-0.1949,-1.1237,-0.2915,-1.1524,-0.3468,1,0.0900,1,0,1.0000,0.0000,0.0000,0.5846,1.4373,-0.1250,5.2982,2.8158,0.0000
0.1000,UKF,jink,0.500,10.00,0.050,1,0.600,1,19.7000,18.2284,-1.4716,9.2785,0.3600,0.1074,0.0182,6.0000,0.0000,7.5186,7.8104,7.5527,19.6972,-11.5449,18.4354,-11.7598,18.4572,-11.8564,18.4215,-11.9246,18.2323,-12.2852,-1.2618,-0.2149,-1.2400,-0.3115,-1.2756,-0.3796,1,0.1000,1,0,1.0000,0.0000,0.0000,0.6474,1.5887,-0.1379,5.2640,2.8792,0.0000
