t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz,timing_on,period_s,pkt_latency_s,meas_stamp_s,stamp_err_s
103.8338,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7859,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.4078,5.3959,-0.2842,3.7841,4.6563,0.0000,1,0.0905,0.0572,97.9823,-0.0002
103.8438,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7817,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.4524,5.4884,-0.3602,3.7945,4.6478,0.0000,1,0.0905,0.0572,97.9823,-0.0002
103.8538,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7763,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.4972,5.5805,-0.4340,3.8049,4.6393,0.0000,1,0.0905,0.0572,97.9823,-0.0002
103.8638,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7696,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.5424,5.6723,-0.5051,3.8154,4.6307,0.0000,1,0.0905,0.0572,97.9823,-0.0002
103.8738,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7617,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.5879,5.7639,-0.5733,3.8258,4.6220,0.0000,1,0.0905,0.0572,97.9823,-0.0002
103.8838,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7527,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.6339,5.8555,-0.6381,3.8364,4.6133,0.0000,1,0.0851,0.0572,97.9823,-0.0002
103.8938,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7424,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.6803,5.9471,-0.6991,3.8469,4.6045,0.0000,1,0.0851,0.0572,97.9823,-0.0002
103.9038,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7310,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.7274,6.0391,-0.7554,3.8575,4.5956,0.0000,1,0.0851,0.0572,97.9823,-0.0002
103.9138,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7184,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.7752,6.1315,-0.8062,3.8681,4.5867,0.0000,1,0.0851,0.0572,97.9823,-0.0002
103.9238,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.7047,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.8239,6.2248,-0.8497,3.8787,4.5777,0.0000,1,0.0851,0.0572,97.9823,-0.0002
103.9338,EKF,smooth,0.500,10.00,0.090,1,0.600,1,6.6898,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,934,0.0000,0,0,0.0000,0.0000,0.0000,2.8736,6.3191,-0.8839,3.8894,4.5687,0.0000,1,0.0851,0.0572,97.9823,-0.0002
