t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz,timing_on,period_s,pkt_latency_s,meas_stamp_s,stamp_err_s,zoom,fov_deg,fx
4.8600,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5345,7.0658,-0.4687,3.7028,0.3600,0.1637,0.0057,6.0000,0.0000,0.5833,9.6649,60.5016,22.0805,-24.7277,23.4820,-24.6521,23.7174,-24.8043,23.2977,-25.8640,16.0304,-41.0799,1.4016,0.0756,1.6369,-0.0767,1.2172,-1.1363,47,0.0500,1,0,0.3333,0.3333,0.3333,2.9621,4.4844,0.3611,-0.0126,6.0000,0.0000,1,0.1159,0.0445,4.8087,-0.0013,1.000,70.00,342.76
4.8700,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5373,7.0119,-0.5254,3.7246,0.3600,0.1637,0.0055,6.0000,0.0000,0.5167,11.3418,60.4106,21.8023,-24.7442,23.4820,-24.6521,23.7174,-24.8043,23.2259,-26.0849,15.8660,-41.8178,1.6797,0.0921,1.9150,-0.0602,1.4236,-1.3407,47,0.0600,1,0,0.3333,0.3333,0.3333,2.9865,4.6060,0.3152,-0.0322,5.9999,0.0000,1,0.1159,0.0445,4.8087,-0.0013,1.000,70.00,342.76
4.8800,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5389,6.9556,-0.5832,3.7501,0.3600,0.1637,0.0054,6.0000,0.0000,0.4463,13.0483,60.3573,21.5247,-24.7611,23.4820,-24.6521,23.7174,-24.8043,23.1577,-26.3110,15.7001,-42.5936,1.9573,0.1090,2.1926,-0.0432,1.6330,-1.5499,47,0.0700,1,0,0.3333,0.3333,0.3333,3.0098,4.7265,0.2693,-0.0517,5.9998,0.0000,1,0.1159,0.0445,4.8087,-0.0013,1.000,70.00,342.76
4.8900,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5393,6.8970,-0.6423,3.7793,0.3600,0.1637,0.0052,6.0000,0.0000,0.3652,14.7865,60.3416,21.2475,-24.7784,23.4820,-24.6521,23.7174,-24.8043,23.0933,-26.5424,15.5323,-43.4107,2.2346,0.1263,2.4699,-0.0260,1.8458,-1.7640,47,0.0800,1,0,0.3333,0.3333,0.3333,3.0321,4.8459,0.2235,-0.0712,5.9996,0.0000,1,0.1159,0.0445,4.8087,-0.0013,1.000,70.00,342.76
4.9000,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5385,6.8361,-0.7024,3.8122,0.3600,0.1637,0.0051,6.0000,0.0000,0.2815,16.5588,60.3637,20.9706,-24.7960,23.4820,-24.6521,23.7174,-24.8043,23.0329,-26.7794,15.3626,-44.2726,2.5114,0.1439,2.7468,-0.0084,2.0623,-1.9834,47,0.0900,1,0,0.3333,0.3333,0.3333,3.0534,4.9643,0.1777,-0.0906,5.9993,0.0000,1,0.1159,0.0445,4.8087,-0.0013,1.000,70.00,342.76
4.9100,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5366,6.7730,-0.7636,3.8486,0.3600,0.1637,0.0049,6.0000,0.0000,0.2434,18.3680,60.4234,20.6939,-24.8138,23.4820,-24.6521,23.7174,-24.8043,22.9767,-27.0223,15.1907,-45.1831,2.7881,0.1617,3.0234,0.0095,2.2827,-2.2084,47,0.1000,1,0,0.3333,0.3333,0.3333,3.0737,5.0816,0.1320,-0.1101,5.9990,0.0000,1,0.1159,0.0445,4.8087,-0.0013,1.000,70.00,342.76
4.9200,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5335,6.7076,-0.8259,3.8884,0.3600,0.1637,0.0048,6.0000,0.0000,0.3305,20.2164,60.5211,20.4174,-24.8320,23.4820,-24.6521,23.7174,-24.8043,22.9249,-27.2714,15.0165,-46.1465,3.0646,0.1799,3.2999,0.0277,2.5075,-2.4393,47,0.1100,1,0,0.3333,0.3333,0.3333,3.0930,5.1980,0.0865,-0.1295,5.9986,0.0000,1,0.1159,0.0445,4.8087,-0.0013,1.000,70.00,342.76
4.9300,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5293,6.6401,-0.8892,3.9317,0.3600,0.1637,0.0047,6.0000,0.0000,0.5276,22.1072,60.6569,20.1410,-24.8505,23.4820,-24.6521,23.7174,-24.8043,22.8778,-27.5271,14.8396,-47.1676,3.3411,0.1984,3.5764,0.0461,2.7368,-2.6766,47,0.1200,1,0,0.3333,0.3333,0.3333,3.1114,5.3133,0.0411,-0.1488,5.9982,0.0000,1,0.1094,0.0431,4.8087,0.0017,1.000,70.00,342.76
4.9400,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5239,6.5704,-0.9535,3.9781,0.3600,0.1637,0.0046,6.0000,0.0000,0.7933,24.0435,60.8312,19.8645,-24.8692,23.4820,-24.6521,23.7174,-24.8043,22.8357,-27.7897,14.6597,-48.2514,3.6175,0.2171,3.8528,0.0648,2.9711,-2.9206,47,0.1300,1,0,0.3333,0.3333,0.3333,3.1287,5.4276,-0.0041,-0.1682,5.9976,0.0000,1,0.1094,0.0431,4.8087,0.0017,1.000,70.00,342.76
4.9500,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,1,7.5174,6.4987,-1.0187,4.0278,0.3600,0.1637,0.0045,6.0000,0.0000,1.1130,26.0283,61.0445,19.5880,-24.8881,23.4820,-24.6521,23.7174,-24.8043,22.7988,-28.0598,14.4764,-49.4036,3.8941,0.2360,4.1294,0.0837,3.2108,-3.1717,47,0.1400,1,0,0.3333,0.3333,0.3333,3.1451,5.5410,-0.0490,-0.1874,5.9971,0.0000,1,0.1094,0.0431,4.8087,0.0017,1.000,70.00,342.76
