t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz,timing_on,period_s,pkt_latency_s,meas_stamp_s,stamp_err_s,zoom,fov_deg,fx
138.6131,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.8932,7.9420,1.0488,0.7195,0.3430,0.1513,0.0381,6.0000,6.8725,1.2167,7.6693,2.7960,125.7954,-25.5234,124.7298,-24.9563,124.6998,-24.9911,125.7044,-25.2538,134.3912,-27.3326,-1.0656,0.5671,-1.0956,0.5323,-0.0910,0.2695,1230,0.0500,480,0,0.9860,0.0124,0.0016,5.2250,-1.1504,2.1094,4.7725,-3.6364,0.0000,1,0.1063,0.0424,138.5626,-0.0005,4.000,17.50,1559.30
138.6231,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.9109,7.9590,1.0482,0.7285,0.3430,0.1513,0.0382,6.0000,6.8725,1.2095,9.2806,2.7855,126.0051,-25.6445,124.7298,-24.9563,124.6998,-24.9911,125.8918,-25.3192,134.5327,-27.4728,-1.2753,0.6882,-1.3053,0.6534,-0.1133,0.3253,1230,0.0600,480,0,0.9860,0.0124,0.0016,5.3178,-1.2448,2.0763,4.7611,-3.6513,0.0000,1,0.1063,0.0424,138.5626,-0.0005,4.000,17.50,1559.30
138.6331,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.9273,7.9733,1.0461,0.7384,0.3430,0.1513,0.0383,6.0000,6.8725,1.2028,10.9804,2.7756,126.2139,-25.7661,124.7298,-24.9563,124.6998,-24.9911,126.0750,-25.3826,134.6727,-27.5824,-1.4840,0.8098,-1.5140,0.7750,-0.1389,0.3835,1230,0.0700,480,0,0.9860,0.0124,0.0016,5.4084,-1.3382,2.0331,4.7497,-3.6661,0.0000,1,0.1063,0.0424,138.5626,-0.0005,4.000,17.50,1559.30
138.6431,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.9425,7.9849,1.0425,0.7490,0.3430,0.1513,0.0384,6.0000,6.8725,1.1962,12.7906,2.7661,126.4217,-25.8876,124.7298,-24.9563,124.6998,-24.9911,126.2539,-25.4426,134.8109,-27.6627,-1.6919,0.9313,-1.7219,0.8965,-0.1678,0.4450,1230,0.0800,480,0,0.9860,0.0124,0.0016,5.4967,-1.4304,1.9809,4.7383,-3.6809,0.0000,1,0.1063,0.0424,138.5626,-0.0005,4.000,17.50,1559.30
138.6531,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.9563,7.9938,1.0375,0.7606,0.3430,0.1513,0.0385,6.0000,6.8725,1.1901,14.7295,2.7571,126.6289,-26.0082,124.7298,-24.9563,124.6998,-24.9911,126.4288,-25.4979,134.9469,-27.7152,-1.8991,1.0519,-1.9290,1.0171,-0.2000,0.5103,1230,0.0900,480,0,0.9860,0.0124,0.0016,5.5823,-1.5211,1.9211,4.7268,-3.6956,0.0000,1,0.1063,0.0424,138.5626,-0.0005,4.000,17.50,1559.30
138.6631,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.9690,8.0000,1.0310,0.7730,0.3430,0.1513,0.0386,6.0000,6.8725,1.1843,16.8111,2.7487,126.8353,-26.1275,124.7298,-24.9563,124.6998,-24.9911,126.5997,-25.5473,135.0808,-27.7408,-2.1055,1.1712,-2.1355,1.1364,-0.2356,0.5801,1230,0.0999,480,0,0.9860,0.0124,0.0016,5.6653,-1.6103,1.8545,4.7153,-3.7102,0.0000,1,0.1063,0.0424,138.5626,-0.0005,4.000,17.50,1559.30
138.6731,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.9803,8.0036,1.0233,0.7864,0.3430,0.1513,0.0386,6.0000,6.8725,1.1788,19.0473,2.7409,127.0411,-26.2450,124.7298,-24.9563,124.6998,-24.9911,126.7667,-25.5901,135.2123,-27.7405,-2.3113,1.2887,-2.3413,1.2539,-0.2744,0.6549,1230,0.1099,480,0,0.9860,0.0124,0.0016,5.7455,-1.6979,1.7821,4.7038,-3.7248,0.0000,1,0.0935,0.0553,138.5626,-0.0008,4.000,17.50,1559.30
138.6831,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.9904,8.0045,1.0141,0.8008,0.3430,0.1513,0.0387,6.0000,6.8725,1.1738,21.4487,2.7335,127.2464,-26.3603,124.7298,-24.9563,124.6998,-24.9911,126.9299,-25.6254,135.3413,-27.7151,-2.5166,1.4039,-2.5466,1.3691,-0.3165,0.7349,1230,0.1199,480,0,0.9860,0.0124,0.0016,5.8230,-1.7839,1.7045,4.6923,-3.7393,0.0000,1,0.0935,0.0553,138.5626,-0.0008,4.000,17.50,1559.30
138.6931,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,6.9992,8.0030,1.0037,0.8162,0.3430,0.1513,0.0388,6.0000,6.8725,1.1692,24.0233,2.7268,127.4512,-26.4729,124.7298,-24.9563,124.6998,-24.9911,127.0892,-25.6524,135.4677,-27.6652,-2.7214,1.5166,-2.7514,1.4818,-0.3620,0.8205,1230,0.1299,480,0,0.9860,0.0124,0.0016,5.8978,-1.8684,1.6223,4.6808,-3.7537,0.0000,1,0.0935,0.0553,138.5626,-0.0008,4.000,17.50,1559.30
138.7030,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,7.0068,7.9989,0.9920,0.8326,0.3430,0.1513,0.0389,6.0000,6.8725,1.1649,26.7784,2.7205,127.6556,-26.5827,124.7298,-24.9563,124.6998,-24.9911,127.2448,-25.6706,135.5913,-27.5911,-2.9258,1.6264,-2.9558,1.5916,-0.4108,0.9121,1230,0.1399,480,0,0.9860,0.0124,0.0016,5.9700,-1.9513,1.5363,4.6692,-3.7681,0.0000,1,0.0935,0.0553,138.5626,-0.0008,4.000,17.50,1559.30
138.7130,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,7.0131,7.9923,0.9792,0.8500,0.3430,0.1513,0.0390,6.0000,6.8725,1.1609,29.7202,2.7150,127.8597,-26.6893,124.7298,-24.9563,124.6998,-24.9911,127.3968,-25.6795,135.7122,-27.4933,-3.1299,1.7330,-3.1599,1.6982,-0.4629,1.0098,1230,0.1499,480,0,0.9860,0.0124,0.0016,6.0396,-2.0326,1.4467,4.6577,-3.7824,0.0000,1,0.0935,0.0553,138.5626,-0.0008,4.000,17.50,1559.30
