scenario,name,family,maneuver,detect_hz,latency_s,jitter,bbox_est_px,los_est_px,d_est_px,bbox_hdg,los_hdg,d_hdg,bbox_range,los_range,d_range,bbox_size,los_size
s01,smooth_10hz_50ms,EKF,smooth,10.00,0.050,1,4.5882,127.7010,123.1128,0.5037,14.6233,14.1196,1.5011,24.9308,23.4296,0.0540,0.0344
s01,smooth_10hz_50ms,UKF,smooth,10.00,0.050,1,5.1038,90.1009,84.9970,0.7263,16.3742,15.6479,1.3594,30.7521,29.3926,0.0439,0.0344
s01,smooth_10hz_50ms,IMM-EKF,smooth,10.00,0.050,1,4.8065,4.7528,-0.0537,0.5014,0.7428,0.2414,1.0239,8.0705,7.0466,0.0391,0.0344
s01,smooth_10hz_50ms,IMM-UKF,smooth,10.00,0.050,1,5.6946,8.7413,3.0466,0.9014,1.9751,1.0737,0.7318,9.4499,8.7181,0.0347,0.0344
s02,jink_10hz_50ms,EKF,jink,10.00,0.050,1,4.7199,6.7116,1.9917,0.6246,0.7984,0.1738,1.4330,1.6050,0.1720,0.0765,0.0228
s02,jink_10hz_50ms,UKF,jink,10.00,0.050,1,6.1147,11.2612,5.1466,0.9491,1.9134,0.9643,0.7150,11.3185,10.6035,0.0379,0.0228
s02,jink_10hz_50ms,IMM-EKF,jink,10.00,0.050,1,5.7809,11.0644,5.2835,0.7245,0.8996,0.1752,2.3362,3.5376,1.2013,0.1173,0.0228
s02,jink_10hz_50ms,IMM-UKF,jink,10.00,0.050,1,7.3036,10.0188,2.7152,1.0446,1.6935,0.6489,2.3535,0.9049,-1.4486,0.1209,0.0228
s03,smooth_10hz_150ms,EKF,smooth,10.00,0.150,1,11.0240,186.0913,175.0673,1.5021,16.6624,15.1604,1.5884,25.7492,24.1608,0.0537,0.0344
s03,smooth_10hz_150ms,UKF,smooth,10.00,0.150,1,12.1719,120.2103,108.0384,2.0578,18.5221,16.4643,1.4846,31.6546,30.1700,0.0439,0.0344
s03,smooth_10hz_150ms,IMM-EKF,smooth,10.00,0.150,1,11.9611,11.5708,-0.3903,1.6634,1.7443,0.0809,1.1287,8.5006,7.3719,0.0390,0.0344
s03,smooth_10hz_150ms,IMM-UKF,smooth,10.00,0.150,1,13.9644,16.2504,2.2860,2.4567,3.1817,0.7249,0.9094,9.8626,8.9533,0.0348,0.0344
s04,jink_10hz_150ms,EKF,jink,10.00,0.150,1,13.9470,18.3108,4.3638,1.5547,1.8566,0.3019,1.4619,1.7076,0.2458,0.0763,0.0228
s04,jink_10hz_150ms,UKF,jink,10.00,0.150,1,14.6105,21.4121,6.8015,2.0505,3.5736,1.5231,0.8805,11.8352,10.9547,0.0377,0.0228
s04,jink_10hz_150ms,IMM-EKF,jink,10.00,0.150,1,17.4678,31.8377,14.3699,1.8353,2.2867,0.4514,2.3632,3.5718,1.2086,0.1172,0.0228
s04,jink_10hz_150ms,IMM-UKF,jink,10.00,0.150,1,19.3036,20.1940,0.8904,2.3546,3.1573,0.8027,2.3940,1.0807,-1.3133,0.1206,0.0228
s05,smooth_20hz_50ms,EKF,smooth,20.00,0.050,1,3.3089,3.2287,-0.0802,0.4464,0.4188,-0.0276,1.5671,11.7609,10.1938,0.0636,0.0344
s05,smooth_20hz_50ms,UKF,smooth,20.00,0.050,1,3.8321,4.5213,0.6892,0.5650,0.5685,0.0035,2.0008,15.6028,13.6020,0.0983,0.0344
s05,smooth_20hz_50ms,IMM-EKF,smooth,20.00,0.050,1,3.1493,2.9993,-0.1501,0.4287,0.3931,-0.0356,0.7129,2.6225,1.9096,0.0398,0.0344
s05,smooth_20hz_50ms,IMM-UKF,smooth,20.00,0.050,1,4.2961,3.9495,-0.3466,0.6466,0.7063,0.0597,2.5883,4.0987,1.5105,0.1219,0.0344
s06,jink_4hz_50ms,EKF,jink,4.00,0.050,1,17.3414,1235.7013,1218.3599,1.9035,36.2808,34.3773,1.2112,5.4257,4.2144,0.0611,0.0228
s06,jink_4hz_50ms,UKF,jink,4.00,0.050,1,47.3651,90.0340,42.6689,5.9501,14.7038,8.7537,7.7122,24.1704,16.4583,0.2567,0.0228
s06,jink_4hz_50ms,IMM-EKF,jink,4.00,0.050,1,23.0040,744.3893,721.3853,2.6331,29.3484,26.7153,1.9117,6.2750,4.3632,0.0960,0.0228
s06,jink_4hz_50ms,IMM-UKF,jink,4.00,0.050,1,36.5311,67.8105,31.2794,5.0066,11.5192,6.5126,1.3549,76.2832,74.9283,0.0427,0.0228
s07,smooth_10hz_nojitter,EKF,smooth,10.00,0.050,0,3.8231,2351.6542,2347.8311,0.3742,33.8509,33.4768,0.7519,24.9067,24.1548,0.0386,0.0344
s07,smooth_10hz_nojitter,UKF,smooth,10.00,0.050,0,4.5876,23.2671,18.6796,0.6999,2.6384,1.9385,1.0966,27.5364,26.4398,0.0379,0.0344
s07,smooth_10hz_nojitter,IMM-EKF,smooth,10.00,0.050,0,4.0953,4.2152,0.1199,0.4227,0.4676,0.0449,0.6689,3.4943,2.8254,0.0321,0.0344
s07,smooth_10hz_nojitter,IMM-UKF,smooth,10.00,0.050,0,5.2675,8.1807,2.9132,0.8663,1.8038,0.9375,0.6763,13.6117,12.9354,0.0341,0.0344
s08,jink_10hz_nojitter,EKF,jink,10.00,0.050,0,4.8026,368.1916,363.3890,0.4902,19.7534,19.2632,2.8262,6.8861,4.0599,0.1414,0.0228
s08,jink_10hz_nojitter,UKF,jink,10.00,0.050,0,6.0005,10.6927,4.6922,0.9466,1.7772,0.8305,1.0035,11.3996,10.3961,0.0573,0.0228
s08,jink_10hz_nojitter,IMM-EKF,jink,10.00,0.050,0,5.7455,110.2524,104.5069,0.6376,4.8266,4.1890,2.9048,3.8958,0.9911,0.1431,0.0228
s08,jink_10hz_nojitter,IMM-UKF,jink,10.00,0.050,0,7.1688,10.2107,3.0419,1.0260,1.7548,0.7288,2.5942,1.1029,-1.4914,0.1310,0.0228
s09,far_smooth,EKF,smooth,10.00,0.050,1,4.2659,71.6094,67.3435,0.5032,10.1652,9.6620,2.0185,24.7388,22.7203,0.0498,0.0339
