t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz
0.0100,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5742,nan,nan,nan,nan,nan,nan,6.0208,nan,0.0000,0.0000,0.0000,15.5587,-9.7119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0671,0.1590,0.0513,5.9298,-0.9153,0.5000
0.0200,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5789,nan,nan,nan,nan,nan,nan,6.0208,nan,0.0000,0.0000,0.0000,15.8550,-9.7130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1343,0.3161,0.1017,5.9403,-0.8441,0.5000
0.0300,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5830,nan,nan,nan,nan,nan,nan,6.0208,nan,0.0000,0.0000,0.0000,16.1494,-9.7172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2015,0.4715,0.1512,5.9500,-0.7727,0.5000
0.0400,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5865,nan,nan,nan,nan,nan,nan,6.0208,nan,0.0000,0.0000,0.0000,16.4420,-9.7242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2689,0.6252,0.1998,5.9589,-0.7013,0.5000
0.0500,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5894,11.9608,0.3714,8.4215,0.3600,0.3600,0.0298,6.0208,0.0000,0.5136,9.0035,0.2426,16.7330,-9.7341,15.2605,-9.7138,15.2435,-9.7980,15.2142,-9.8906,14.9102,-10.8505,-1.4725,0.0203,-1.4895,-0.0640,-1.5188,-0.1566,1,0.0500,1,0,1.0000,0.0000,0.0000,0.3363,0.7771,0.2475,5.9669,-0.6297,0.5000
0.0600,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5919,11.9439,0.3520,8.4311,0.3600,0.3600,0.0273,6.0208,0.0000,0.5149,10.7984,0.2436,17.0228,-9.7467,15.2605,-9.7138,15.2435,-9.7980,15.2009,-9.9305,14.8282,-11.0845,-1.7622,0.0329,-1.7793,-0.0514,-1.8219,-0.1838,1,0.0600,1,0,1.0000,0.0000,0.0000,0.4038,0.9273,0.2943,5.9740,-0.5581,0.5000
0.0700,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5938,11.9240,0.3302,8.4423,0.3600,0.3600,0.0246,6.0208,0.0000,0.5161,12.5976,0.2448,17.3101,-9.7620,15.2605,-9.7138,15.2435,-9.7980,15.1848,-9.9773,14.7405,-11.3265,-2.0496,0.0482,-2.0666,-0.0361,-2.1253,-0.2153,1,0.0700,1,0,1.0000,0.0000,0.0000,0.4713,1.0758,0.3401,5.9803,-0.4864,0.5000
0.0800,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5951,11.9012,0.3061,8.4553,0.3600,0.3600,0.0219,6.0208,0.0000,0.5169,14.4027,0.2456,17.5951,-9.7800,15.2605,-9.7138,15.2435,-9.7980,15.1658,-10.0308,14.6469,-11.5769,-2.3346,0.0662,-2.3517,-0.0181,-2.4293,-0.2508,1,0.0800,1,0,1.0000,0.0000,0.0000,0.5389,1.2226,0.3851,5.9857,-0.4146,0.5000
0.0900,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5959,11.8756,0.2796,8.4700,0.3600,0.3600,0.0193,6.0208,0.0000,0.5177,16.2163,0.2464,17.8782,-9.8006,15.2605,-9.7138,15.2435,-9.7980,15.1440,-10.0910,14.5472,-11.8357,-2.6177,0.0868,-2.6348,0.0026,-2.7343,-0.2904,1,0.0900,1,0,1.0000,0.0000,0.0000,0.6065,1.3678,0.4292,5.9902,-0.3427,0.5000
0.1000,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5963,11.8471,0.2509,8.4864,0.3600,0.3600,0.0168,6.0208,0.0000,0.5185,18.0393,0.2473,18.1594,-9.8239,15.2605,-9.7138,15.2435,-9.7980,15.1191,-10.1578,14.4411,-12.1033,-2.8989,0.1101,-2.9159,0.0258,-3.0403,-0.3339,1,0.1000,1,0,1.0000,0.0000,0.0000,0.6742,1.5113,0.4724,5.9939,-0.2708,0.5000
0.1100,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5961,11.8160,0.2199,8.5045,0.3600,0.3600,0.0144,6.0208,0.0000,0.5192,19.8721,0.2482,18.4386,-9.8497,15.2605,-9.7138,15.2435,-9.7980,15.0911,-10.2311,14.3283,-12.3797,-3.1781,0.1359,-3.1951,0.0516,-3.3475,-0.3814,1,0.1100,1,0,1.0000,0.0000,0.0000,0.7418,1.6532,0.5148,5.9967,-0.1989,0.5000
0.1200,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5954,11.7821,0.1867,8.5243,0.3600,0.3600,0.0121,6.0208,0.0000,0.5200,21.7156,0.2490,18.7158,-9.8780,15.2605,-9.7138,15.2435,-9.7980,15.0599,-10.3108,14.2085,-12.6652,-3.4553,0.1642,-3.4724,0.0800,-3.6559,-0.4328,1,0.1200,1,0,1.0000,0.0000,0.0000,0.8095,1.7935,0.5562,5.9987,-0.1269,0.5000
0.1300,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5942,11.7456,0.1514,8.5459,0.3600,0.3600,0.0099,6.0208,0.0000,0.5208,23.5704,0.2499,18.9911,-9.9088,15.2605,-9.7138,15.2435,-9.7980,15.0254,-10.3970,14.0814,-12.9600,-3.7305,0.1950,-3.7476,0.1108,-3.9657,-0.4882,1,0.1300,1,0,1.0000,0.0000,0.0000,0.8771,1.9322,0.5968,5.9997,-0.0549,0.5000
0.1400,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5925,11.7064,0.1139,8.5691,0.3600,0.3600,0.0078,6.0208,0.0000,0.5216,25.4375,0.2508,19.2643,-9.9420,15.2605,-9.7138,15.2435,-9.7980,14.9874,-10.4895,13.9467,-13.2644,-4.0038,0.2283,-4.0208,0.1440,-4.2769,-0.5475,1,0.1400,1,0,1.0000,0.0000,0.0000,0.9447,2.0693,0.6365,6.0000,0.0171,0.5000
0.1500,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5903,13.0842,1.4939,7.1255,0.3600,0.3600,0.0058,6.0208,2.2445,1.2468,30.0225,0.2517,19.5354,-9.9776,18.1594,-9.8239,18.1168,-9.6187,14.5635,-8.9730,11.8570,-6.4476,-1.3760,0.1538,-1.4187,0.3590,-4.9719,1.0046,2,0.0500,2,0,1.0000,0.0000,0.0000,1.0123,2.2049,0.6754,5.9993,0.0891,0.5000
0.1600,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5877,13.0565,1.4688,7.1498,0.3600,0.3600,0.0039,6.0208,2.2445,1.2455,32.0179,0.2527,19.8046,-10.0156,18.1594,-9.8239,18.1168,-9.6187,14.5045,-8.9421,11.6950,-6.5365,-1.6452,0.1918,-1.6878,0.3969,-5.3001,1.0735,2,0.0600,2,0,1.0000,0.0000,0.0000,1.0799,2.3389,0.7134,5.9978,0.1611,0.5000
0.1700,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5846,13.0261,1.4415,7.1762,0.3600,0.3600,0.0021,6.0208,2.2445,1.2443,34.0185,0.2536,20.0716,-10.0559,18.1594,-9.8239,18.1168,-9.6187,14.4422,-8.9161,11.5259,-6.6293,-1.9122,0.2320,-1.9548,0.4372,-5.6294,1.1398,2,0.0700,2,0,1.0000,0.0000,0.0000,1.1474,2.4714,0.7505,5.9955,0.2330,0.5000
0.1800,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5809,12.9930,1.4121,7.2046,0.3600,0.3600,0.0004,6.0208,2.2445,1.2430,36.0251,0.2545,20.3365,-10.0984,18.1594,-9.8239,18.1168,-9.6187,14.3767,-8.8948,11.3492,-6.7259,-2.1771,0.2746,-2.2198,0.4797,-5.9599,1.2036,2,0.0800,2,0,1.0000,0.0000,0.0000,1.2149,2.6024,0.7868,5.9922,0.3050,0.5000
0.1900,UKF-LOS,jink,0.500,10.00,0.050,1,0.600,1,11.5769,12.9574,1.3805,7.2350,0.3600,0.3600,0.0011,6.0208,2.2445,1.2417,38.0382,0.2555,20.5994,-10.1432,18.1594,-9.8239,18.1168,-9.6187,14.3077,-8.8781,11.1648,-6.8263,-2.4400,0.3193,-2.4826,0.5245,-6.2916,1.2651,2,0.0900,2,0,1.0000,0.0000,0.0000,1.2823,2.7319,0.8222,5.9882,0.3769,0.5000
