scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s01,smooth_10hz_50ms,CV-pixel,CV,px,smooth,10.00,0.050,1,2.1752,1.6414,0.3190,0.2427,0.0000,0.0000,0.0000,0.0000,0.0000,200,0,2000,logs/auto_20260817_030358/runs/s01_CV-pixel.csv
s01,smooth_10hz_50ms,EKF,EKF,bbox,smooth,10.00,0.050,1,4.5882,1.6414,0.5037,0.6578,1.5011,1.2736,3.4288,0.0540,1.2238,200,0,2000,logs/auto_20260817_030358/runs/s01_EKF.csv
s01,smooth_10hz_50ms,UKF,UKF,bbox,smooth,10.00,0.050,1,5.1038,1.6414,0.7263,0.7013,1.3594,1.1809,3.5744,0.0439,1.1934,200,0,2000,logs/auto_20260817_030358/runs/s01_UKF.csv
s01,smooth_10hz_50ms,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,4.8065,1.6414,0.5014,0.7072,1.0239,0.8817,3.0349,0.0391,0.8987,200,0,2000,logs/auto_20260817_030358/runs/s01_IMM-EKF.csv
s01,smooth_10hz_50ms,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,5.6946,1.6414,0.9014,0.7728,0.7318,0.5380,2.6833,0.0347,0.7985,200,0,2000,logs/auto_20260817_030358/runs/s01_IMM-UKF.csv
s01,smooth_10hz_50ms,EKF-LOS,EKF,los,smooth,10.00,0.050,1,127.7010,1.6414,14.6233,6.3828,24.9308,16.3861,77.6407,0.0344,9.0971,200,12,2000,logs/auto_20260817_030358/runs/s01_EKF-LOS.csv
s01,smooth_10hz_50ms,UKF-LOS,UKF,los,smooth,10.00,0.050,1,90.1009,1.6414,16.3742,5.1199,30.7521,26.8024,63.0443,0.0344,12.5089,200,11,2000,logs/auto_20260817_030358/runs/s01_UKF-LOS.csv
s01,smooth_10hz_50ms,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,1,4.7528,1.6414,0.7428,0.6319,8.0705,5.1740,21.1478,0.0344,5.6038,200,0,2000,logs/auto_20260817_030358/runs/s01_IMM-EKF-LOS.csv
s01,smooth_10hz_50ms,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,1,8.7413,1.6414,1.9751,0.9497,9.4499,7.4885,20.8709,0.0344,5.2132,200,0,2000,logs/auto_20260817_030358/runs/s01_IMM-UKF-LOS.csv
s02,jink_10hz_50ms,CV-pixel,CV,px,jink,10.00,0.050,1,2.1768,1.6417,0.2996,0.2428,0.0000,0.0000,0.0000,0.0000,0.0000,200,0,2000,logs/auto_20260817_030358/runs/s02_CV-pixel.csv
s02,jink_10hz_50ms,EKF,EKF,bbox,jink,10.00,0.050,1,4.7199,1.6417,0.6246,0.5514,1.4330,1.3663,2.8390,0.0765,1.2884,200,0,2000,logs/auto_20260817_030358/runs/s02_EKF.csv
s02,jink_10hz_50ms,UKF,UKF,bbox,jink,10.00,0.050,1,6.1147,1.6417,0.9491,0.5580,0.7150,0.5829,2.7107,0.0379,1.4037,200,0,2000,logs/auto_20260817_030358/runs/s02_UKF.csv
s02,jink_10hz_50ms,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,1,5.7809,1.6417,0.7245,0.7101,2.3362,2.2873,4.1733,0.1173,1.2409,200,0,2000,logs/auto_20260817_030358/runs/s02_IMM-EKF.csv
s02,jink_10hz_50ms,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,1,7.3036,1.6417,1.0446,0.7756,2.3535,2.2569,4.7079,0.1209,1.2005,200,0,2000,logs/auto_20260817_030358/runs/s02_IMM-UKF.csv
s02,jink_10hz_50ms,EKF-LOS,EKF,los,jink,10.00,0.050,1,6.7116,1.6417,0.7984,0.8759,1.6050,1.1333,5.8491,0.0228,1.2256,200,0,2000,logs/auto_20260817_030358/runs/s02_EKF-LOS.csv
s02,jink_10hz_50ms,UKF-LOS,UKF,los,jink,10.00,0.050,1,11.2612,1.6417,1.9134,0.8601,11.3185,11.1199,19.4347,0.0228,7.1243,200,0,2000,logs/auto_20260817_030358/runs/s02_UKF-LOS.csv
s02,jink_10hz_50ms,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,1,11.0644,1.6417,0.8996,1.6545,3.5376,3.3549,6.7561,0.0228,1.3999,200,0,2000,logs/auto_20260817_030358/runs/s02_IMM-EKF-LOS.csv
s02,jink_10hz_50ms,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,1,10.0188,1.6417,1.6935,0.7196,0.9049,0.7201,2.8295,0.0228,0.9283,200,0,2000,logs/auto_20260817_030358/runs/s02_IMM-UKF-LOS.csv
s03,smooth_10hz_150ms,CV-pixel,CV,px,smooth,10.00,0.150,1,2.8029,1.6400,0.4048,0.3164,0.0000,0.0000,0.0000,0.0000,0.0000,199,0,2000,logs/auto_20260817_030358/runs/s03_CV-pixel.csv
