t_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,240.343,181.367,6.759,2.000,0.0000,0.0000,0.0000,0.0099,-11.9754,9.9978,6.2743,6.1214,6.0000,19.5550,19.0940,-11.6483
0.1500,239.449,179.190,6.479,2.000,0.6474,1.5887,-0.1379,0.0776,-11.8096,9.9835,6.7987,6.4123,6.0000,19.8182,20.2456,-11.4496
0.2500,241.171,179.214,6.208,2.000,1.2508,3.0187,-0.2565,0.2054,-11.5016,9.9574,7.2844,6.7638,6.0000,19.9771,21.1839,-11.2813
0.3500,240.714,180.923,6.098,2.000,1.8085,4.3073,-0.3576,0.3887,-11.0653,9.9212,7.7246,7.1710,6.0000,20.0360,21.9121,-11.1426
0.4500,240.833,180.021,6.133,2.000,2.3190,5.4705,-0.4431,0.6228,-10.5132,9.8766,8.1129,7.6280,6.0000,19.9980,22.4327,-11.0343
0.5500,239.542,181.408,5.579,2.000,2.7810,6.5228,-0.5144,0.9029,-9.8563,9.8249,8.4436,8.1282,6.0000,19.8653,22.7462,-10.9575
0.6500,238.369,179.737,5.411,2.000,3.1936,7.4772,-0.5729,1.2240,-9.1044,9.7673,8.7122,8.6643,6.0000,19.6391,22.8496,-10.9147
0.7500,237.511,180.917,5.556,2.000,3.5557,8.3454,-0.6200,1.5810,-8.2660,9.7052,8.9145,9.2288,6.0000,19.3205,22.7445,-10.9089
0.8500,239.411,180.897,5.940,2.000,3.8664,9.1379,-0.6568,1.9689,-7.3487,9.6394,9.0479,9.8134,6.0000,18.9105,22.4174,-10.9450
0.9500,240.337,181.960,6.125,2.000,4.1243,9.8642,-0.6842,2.3822,-6.3591,9.5709,9.1103,10.4098,6.0000,18.4100,21.8638,-11.0285
1.0500,240.222,182.174,6.847,2.000,4.3281,10.5326,-0.7031,2.8157,-5.3028,9.5005,9.1009,11.0094,6.0000,17.8204,21.0736,-11.1671
1.1500,241.248,180.952,7.117,2.000,4.4759,11.1505,-0.7141,3.2636,-4.1850,9.4291,9.0198,11.6035,6.0000,17.1434,20.0318,-11.3702
1.2500,242.158,181.905,7.541,2.000,4.5652,11.7242,-0.7178,3.7202,-3.0100,9.3574,8.8681,12.1837,6.0000,16.3815,18.7187,-11.6497
1.3500,242.244,181.173,8.217,2.000,4.5932,12.2590,-0.7144,4.1792,-1.7816,9.2860,8.6481,12.7415,6.0000,15.5379,17.1042,-12.0215
1.4500,241.982,181.933,8.466,2.000,4.5556,12.7593,-0.7040,4.6341,-0.5034,9.2157,8.3629,13.2689,6.0000,14.6173,15.1491,-12.5077
1.5500,242.133,182.294,9.133,2.134,4.4472,13.2281,-0.6862,5.0778,0.8216,9.1472,8.0283,13.7668,6.0000,13.6360,12.8392,-13.1270
1.6500,241.466,180.953,10.132,2.490,4.2774,13.6648,-0.6594,5.5044,2.1900,9.0815,7.7367,14.2909,6.0000,12.6753,10.4539,-13.8344
1.7500,241.520,179.979,10.264,2.702,4.0689,14.0674,-0.6210,5.9101,3.5985,9.0196,7.5100,14.8460,6.0000,11.7449,8.0986,-14.6411
1.8500,239.709,179.782,10.802,3.040,3.8312,14.4367,-0.5691,6.2919,5.0438,8.9631,7.3514,15.4243,6.0000,10.8361,5.8334,-15.5878
1.9500,241.303,179.594,10.802,3.367,3.5745,14.7738,-0.5002,6.6480,6.5227,8.9136,7.2631,16.0174,6.0000,9.9391,3.7136,-16.7354
2.0500,241.287,180.423,11.087,3.700,3.3102,15.0799,-0.4085,6.9777,8.0320,8.8734,7.2465,16.6168,6.0000,9.0443,1.7967,-18.1764
2.1500,240.489,178.741,11.886,4.096,3.0505,15.3559,-0.2817,7.2816,9.5687,8.8463,7.3018,17.2139,6.0000,8.1440,0.1413,-20.0647
2.2500,239.716,177.815,14.753,5.303,2.8090,15.5992,-0.0847,7.5615,11.1295,8.8400,7.4281,17.8001,6.0000,7.2356,-1.1585,-22.6687
2.3500,238.236,180.019,18.352,7.601,2.5995,15.7472,0.3971,7.8199,12.6865,8.8923,7.6237,18.3669,6.0000,6.3593,-1.9899,-26.5461
2.4500,237.696,181.018,21.848,10.672,2.3411,13.7435,1.1144,8.0524,14.0484,9.0023,7.8858,18.9063,6.0000,5.6922,-1.9717,-31.2571
2.5500,237.939,181.720,24.140,13.356,2.0208,11.2660,1.0380,8.2522,15.1627,9.1048,8.2105,19.4104,6.0000,5.2380,-0.5735,-35.7124
2.6500,239.177,179.786,25.969,15.227,1.6087,8.8109,0.8407,8.4105,16.0331,9.1876,8.5933,19.8719,6.0000,4.9677,2.7195,-39.2246
2.7500,238.261,179.892,27.073,16.574,1.1079,6.5738,0.6012,8.5182,16.6814,9.2465,9.0286,20.2844,6.0000,4.8502,8.0572,-41.2946
2.8500,240.337,179.912,26.777,16.825,0.5208,4.6342,0.3504,8.5667,17.1368,9.2802,9.5101,20.6418,6.0000,4.8656,15.0593,-41.6661
2.9500,240.234,179.787,25.748,16.790,-0.1647,2.9494,0.0944,8.5461,17.4248,9.2883,10.0309,20.9390,6.0000,5.0105,22.8991,-40.3231
3.0500,240.297,179.018,25.762,16.131,-0.9542,1.4848,-0.1674,8.4461,17.5672,9.2702,10.5780,21.1850,6.0000,5.2979,30.4994,-37.4740
3.1500,241.549,177.808,22.777,12.939,-1.8156,0.1776,-0.4564,8.2601,17.5789,9.2225,11.1024,21.4759,6.0000,5.7787,36.0894,-33.3178
3.2500,241.780,178.990,19.814,9.591,-2.6999,-1.0510,-0.8545,7.9867,17.4692,9.1324,11.5882,21.8274,6.0000,6.4442,39.5514,-28.5756
3.3500,242.380,179.149,16.913,6.961,-2.8824,-1.4444,-1.7855,7.7107,17.3376,8.9639,12.0283,22.2346,6.0000,7.1535,41.3868,-24.0258
3.4500,241.971,180.568,14.882,5.348,-1.4665,-0.0305,-1.5869,7.5701,17.3407,8.8077,12.4166,22.6916,6.0000,7.7319,42.1807,-20.8791
3.5500,242.674,179.200,14.639,4.732,-0.2074,1.2507,-1.1597,7.5546,17.4714,8.6939,12.7474,23.1918,6.0000,8.1689,42.2435,-18.8663
3.6500,241.433,180.235,14.619,4.578,0.9025,2.4224,-0.7225,7.6494,17.7189,8.6237,13.0159,23.7279,6.0000,8.4607,41.7758,-17.6945
3.7500,241.387,179.030,14.821,4.349,1.8721,3.5052,-0.3079,7.8406,18.0743,8.5948,13.2183,24.2924,6.0000,8.6088,40.8613,-17.1796
