scenario,name,estimator,est_px_rms,los_head_rms,los_att_rms,range_rms,size_rms,rejects,timing
s01,smooth_10hz_50ms,EKF,4.7157,0.5805,0.6661,0.8475,0.0348,0,1
s01,smooth_10hz_50ms,IMM-EKF,4.5307,0.6015,0.6322,0.6860,0.0311,0,1
s02,jink_10hz_50ms,EKF,5.4708,0.7167,0.6427,0.9846,0.0552,0,1
s02,jink_10hz_50ms,IMM-EKF,6.5879,0.8371,0.7987,2.1381,0.1073,0,1
s03,smooth_10hz_150ms,EKF,11.8602,1.7153,1.6704,0.9939,0.0348,0,1
s03,smooth_10hz_150ms,IMM-EKF,11.9541,1.8094,1.6559,0.8565,0.0312,0,1
s04,jink_10hz_150ms,EKF,14.4863,1.7143,1.8473,1.0550,0.0551,0,1
s04,jink_10hz_150ms,IMM-EKF,18.2141,2.0173,2.4224,2.1807,0.1071,0,1
s05,smooth_20hz_50ms,EKF,3.4852,0.4520,0.4462,2.4240,0.0964,0,1
s05,smooth_20hz_50ms,IMM-EKF,3.2446,0.4561,0.4097,0.9425,0.0371,0,1
s06,jink_4hz_50ms,EKF,17.8396,2.3298,2.1042,1.0146,0.0505,0,1
s06,jink_4hz_50ms,IMM-EKF,19.8321,2.4672,2.4266,1.5016,0.0794,0,1
s07,smooth_10hz_nojitter,EKF,4.6268,0.4035,0.7255,0.9562,0.0402,0,1
s07,smooth_10hz_nojitter,IMM-EKF,4.9396,0.4524,0.7719,0.7880,0.0340,0,1
s08,jink_10hz_nojitter,EKF,5.3503,0.5816,0.7211,2.0475,0.1062,0,1
s08,jink_10hz_nojitter,IMM-EKF,6.4095,0.7338,0.8391,2.5342,0.1254,0,1
s09,far_smooth,EKF,4.9664,0.6391,0.6927,2.1102,0.0472,0,1
s09,far_smooth,IMM-EKF,4.9745,0.6215,0.7037,1.7653,0.0335,0,1
s10,close_jink,EKF,6.0820,0.8852,0.6255,0.8028,0.0430,0,1
s10,close_jink,IMM-EKF,6.8992,0.9847,0.7333,1.6299,0.0853,0,1
s11,seed2_smooth,EKF,5.8660,0.8420,0.6442,1.4733,0.0641,0,1
s11,seed2_smooth,IMM-EKF,5.8241,0.8448,0.6308,1.2428,0.0532,0,1
s12,hi_jitter_jink,EKF,7.2265,0.9899,0.8060,2.3826,0.0866,0,1
s12,hi_jitter_jink,IMM-EKF,7.5173,1.0619,0.8078,0.7361,0.0430,0,1
s13,stable_timing,EKF,4.6283,0.4991,0.6665,1.5326,0.0549,0,0
s13,stable_timing,IMM-EKF,4.9448,0.5036,0.7322,1.0114,0.0385,0,0
s14,heavy_period,EKF,5.0146,0.5361,0.7332,1.1641,0.0464,0,1
s14,heavy_period,IMM-EKF,4.8696,0.5086,0.7196,1.0511,0.0419,0,1
s15,heavy_stamp,EKF,6.0231,0.8518,0.6465,0.8114,0.0450,0,1
s15,heavy_stamp,IMM-EKF,6.8569,0.9295,0.7786,1.9162,0.0972,0,1
