t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz,timing_on,period_s,pkt_latency_s,meas_stamp_s,stamp_err_s
0.0100,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.4190,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.2976,-11.7370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0466,0.1732,-0.0147,-3.0870,5.1450,0.0000,1,0.0801,0.0590,0.0000,-0.0017
0.0200,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.4538,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.1614,-11.7148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0923,0.3449,-0.0293,-3.0870,5.1449,0.0000,1,0.0801,0.0590,0.0000,-0.0017
0.0300,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.4870,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.0261,-11.6933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1372,0.5149,-0.0436,-3.0872,5.1448,0.0000,1,0.0801,0.0590,0.0000,-0.0017
0.0400,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.5186,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,17.8916,-11.6724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1813,0.6833,-0.0577,-3.0874,5.1447,0.0000,1,0.0801,0.0590,0.0000,-0.0017
0.0500,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.5486,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,17.7578,-11.6522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2245,0.8501,-0.0717,-3.0877,5.1445,0.0000,1,0.0801,0.0590,0.0000,-0.0017
0.0600,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.5769,18.2247,-1.3523,9.1747,0.3600,0.1067,0.0180,6.0000,0.0000,1.7822,5.6671,0.1716,17.6247,-11.6325,18.4345,-11.7598,18.5706,-11.4938,18.5845,-11.5180,18.7010,-11.7209,0.8099,-0.1273,0.9459,0.1387,0.9598,0.1145,1,0.0600,1,0,0.3333,0.3333,0.3333,0.2670,1.0154,-0.0855,-3.0881,5.1443,0.0000,1,0.0801,0.0590,-0.0017,-0.0017
0.0700,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6037,18.2022,-1.4015,9.1853,0.3600,0.1067,0.0180,6.0000,0.0000,1.7826,6.4534,0.1712,17.4922,-11.6135,18.4345,-11.7598,18.5706,-11.4938,18.5897,-11.5266,18.7282,-11.7641,0.9423,-0.1463,1.0783,0.1197,1.0974,0.0869,1,0.0700,1,0,0.3333,0.3333,0.3333,0.3087,1.1791,-0.0991,-3.0885,5.1441,0.0000,1,0.0801,0.0590,-0.0017,-0.0017
0.0800,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6289,18.1765,-1.4524,9.1975,0.3600,0.1067,0.0181,6.0000,0.0000,1.7829,7.2493,0.1708,17.3604,-11.5950,18.4345,-11.7598,18.5706,-11.4938,18.5957,-11.5364,18.7570,-11.8088,1.0741,-0.1648,1.2101,0.1012,1.2353,0.0587,1,0.0800,1,0,0.3333,0.3333,0.3333,0.3496,1.3412,-0.1125,-3.0890,5.1437,0.0000,1,0.0801,0.0590,-0.0017,-0.0017
0.0900,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6526,18.1477,-1.5049,9.2113,0.3600,0.1067,0.0181,6.0000,0.0000,1.7832,8.0530,0.1704,17.2293,-11.5772,18.4345,-11.7598,18.5706,-11.4938,18.6027,-11.5474,18.7876,-11.8551,1.2052,-0.1827,1.3413,0.0834,1.3734,0.0297,1,0.0900,1,0,0.3333,0.3333,0.3333,0.3897,1.5018,-0.1257,-3.0896,5.1434,0.0000,1,0.0987,0.0595,-0.0017,0.0014
0.1000,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6748,18.1158,-1.5590,9.2267,0.3600,0.1067,0.0182,6.0000,0.0000,1.7835,8.8635,0.1701,17.0987,-11.5599,18.4345,-11.7598,18.5706,-11.4938,18.6107,-11.5597,18.8201,-11.9031,1.3358,-0.2000,1.4719,0.0661,1.5120,0.0001,1,0.1000,1,0,0.3333,0.3333,0.3333,0.4290,1.6610,-0.1387,-3.0902,5.1430,0.0000,1,0.0987,0.0595,-0.0017,0.0014
0.1100,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6954,18.0807,-1.6146,9.2438,0.3600,0.1067,0.0182,6.0000,0.0000,1.7838,9.6803,0.1697,16.9687,-11.5431,18.4345,-11.7598,18.5706,-11.4938,18.6196,-11.5733,18.8544,-11.9528,1.4658,-0.2167,1.6019,0.0493,1.6509,-0.0302,1,0.1100,1,0,0.3333,0.3333,0.3333,0.4676,1.8186,-0.1516,-3.0909,5.1426,0.0000,1,0.0987,0.0595,-0.0017,0.0014
0.1200,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7145,18.0427,-1.6718,9.2624,0.3600,0.1067,0.0182,6.0000,0.0000,1.7840,10.5030,0.1694,16.8392,-11.5269,18.4345,-11.7598,18.5706,-11.4938,18.6296,-11.5881,18.8907,-12.0042,1.5953,-0.2329,1.7313,0.0331,1.7904,-0.0612,1,0.1200,1,0,0.3333,0.3333,0.3333,0.5055,1.9747,-0.1642,-3.0917,5.1421,0.0000,1,0.0987,0.0595,-0.0017,0.0014
0.1300,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7321,18.0017,-1.7304,9.2826,0.3600,0.1067,0.0183,6.0000,0.0000,1.7843,11.3316,0.1691,16.7103,-11.5113,18.4345,-11.7598,18.5706,-11.4938,18.6407,-11.6042,18.9291,-12.0574,1.7243,-0.2485,1.8603,0.0175,1.9304,-0.0929,1,0.1300,1,0,0.3333,0.3333,0.3333,0.5426,2.1294,-0.1768,-3.0926,5.1416,0.0000,1,0.0987,0.0595,-0.0017,0.0014
0.1400,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7483,17.9578,-1.7905,9.3044,0.3600,0.1067,0.0183,6.0000,0.0000,1.7845,12.1660,0.1688,16.5818,-11.4962,18.4345,-11.7598,18.5706,-11.4938,18.6528,-11.6215,18.9695,-12.1124,1.8527,-0.2637,1.9888,0.0024,2.0710,-0.1254,1,0.1400,1,0,0.3333,0.3333,0.3333,0.5790,2.2826,-0.1891,-3.0935,5.1410,0.0000,1,0.0987,0.0595,-0.0017,0.0014
0.1500,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7629,20.4077,0.6448,6.0920,0.3542,0.1014,0.0242,6.0000,2.7141,2.0226,6.4865,0.1685,16.4538,-11.4816,17.2293,-11.5772,17.0657,-11.2799,17.5260,-11.2166,13.9528,-10.3235,0.7755,-0.0956,0.6119,0.2017,1.0723,0.2650,2,0.0600,2,0,0.3493,0.3430,0.3078,0.6146,2.4344,-0.2013,-3.0945,5.1404,0.0000,1,0.0987,0.0595,0.0914,0.0014
0.1600,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7762,20.3767,0.6005,6.1176,0.3542,0.1014,0.0242,6.0000,2.7141,2.0229,6.8369,0.1683,16.3262,-11.4675,17.2293,-11.5772,17.0657,-11.2799,17.4601,-11.2035,13.8816,-10.3309,0.9031,-0.1097,0.7395,0.1876,1.1339,0.2640,2,0.0700,2,0,0.3493,0.3430,0.3078,0.6495,2.5848,-0.2132,-3.0956,5.1398,0.0000,1,0.0987,0.0595,0.0914,0.0014
0.1700,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7880,20.3427,0.5548,6.1457,0.3542,0.1014,0.0242,6.0000,2.7141,2.0231,7.1887,0.1680,16.1990,-11.4539,17.2293,-11.5772,17.0657,-11.2799,17.3948,-11.1913,13.8103,-10.3392,1.0302,-0.1232,0.8666,0.1741,1.1957,0.2626,2,0.0800,2,0,0.3493,0.3430,0.3078,0.6837,2.7337,-0.2251,-3.0968,5.1391,0.0000,1,0.0987,0.0595,0.0914,0.0014
0.1800,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7984,20.3059,0.5075,6.1763,0.3542,0.1014,0.0243,6.0000,2.7141,2.0233,7.5417,0.1678,16.0723,-11.4409,17.2293,-11.5772,17.0657,-11.2799,17.3299,-11.1800,13.7390,-10.3483,1.1570,-0.1363,0.9934,0.1610,1.2576,0.2608,2,0.0900,2,0,0.3493,0.3430,0.3078,0.7172,2.8812,-0.2367,-3.0980,5.1383,0.0000,1,0.0987,0.0595,0.0914,0.0014
0.1900,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8074,20.2663,0.4589,6.2093,0.3542,0.1014,0.0243,6.0000,2.7141,2.0235,7.8962,0.1676,15.9459,-11.4283,17.2293,-11.5772,17.0657,-11.2799,17.2656,-11.1697,13.6677,-10.3583,1.2834,-0.1488,1.1198,0.1484,1.3197,0.2586,2,0.1000,2,0,0.3493,0.3430,0.3078,0.7500,3.0274,-0.2482,-3.0993,5.1376,0.0000,1,0.1185,0.0440,0.0914,-0.0013
0.2000,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8149,20.2238,0.4089,6.2446,0.3542,0.1014,0.0243,6.0000,2.7141,2.0237,8.2521,0.1674,15.8198,-11.4162,17.2293,-11.5772,17.0657,-11.2799,17.2017,-11.1602,13.5963,-10.3691,1.4095,-0.1609,1.2458,0.1364,1.3819,0.2560,2,0.1100,2,0,0.3493,0.3430,0.3078,0.7822,3.1721,-0.2596,-3.1006,5.1367,0.0000,1,0.1185,0.0440,0.0914,-0.0013
0.2100,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8212,20.1786,0.3575,6.2824,0.3542,0.1014,0.0244,6.0000,2.7141,2.0239,8.6095,0.1673,15.6941,-11.4046,17.2293,-11.5772,17.0657,-11.2799,17.1384,-11.1517,13.5248,-10.3807,1.5352,-0.1725,1.3716,0.1248,1.4444,0.2530,2,0.1200,2,0,0.3493,0.3430,0.3078,0.8136,3.3155,-0.2707,-3.1021,5.1359,0.0000,1,0.1185,0.0440,0.0914,-0.0013
0.2200,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8260,20.1308,0.3048,6.3225,0.3542,0.1014,0.0244,6.0000,2.7141,2.0240,8.9686,0.1671,15.5687,-11.3935,17.2293,-11.5772,17.0657,-11.2799,17.0757,-11.1440,13.4533,-10.3932,1.6606,-0.1836,1.4970,0.1137,1.5070,0.2495,2,0.1300,2,0,0.3493,0.3430,0.3078,0.8444,3.4576,-0.2818,-3.1036,5.1350,0.0000,1,0.1185,0.0440,0.0914,-0.0013
0.2300,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8295,20.0802,0.2507,6.3648,0.3542,0.1014,0.0244,6.0000,2.7141,2.0242,9.3294,0.1670,15.4435,-11.3829,17.2293,-11.5772,17.0657,-11.2799,17.0134,-11.1372,13.3817,-10.4066,1.7858,-0.1943,1.6221,0.1030,1.5699,0.2457,2,0.1400,2,0,0.3493,0.3430,0.3078,0.8744,3.5983,-0.2926,-3.1052,5.1340,0.0000,1,0.1185,0.0440,0.0914,-0.0013
0.2400,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8317,20.6392,0.8076,4.8442,0.3525,0.0992,0.0261,6.0000,2.7143,1.0334,9.6678,0.1668,15.3186,-11.3727,15.9459,-11.4283,15.7938,-11.3413,16.9639,-11.2837,13.4382,-11.1296,0.6272,-0.0556,0.4751,0.0314,1.6453,0.0890,3,0.0500,3,0,0.4032,0.3646,0.2322,0.9039,3.7377,-0.3033,-3.1068,5.1330,0.0000,1,0.1185,0.0440,0.1887,-0.0013
