scenario,name,family,maneuver,detect_hz,latency_s,jitter,bbox_est_px,los_est_px,d_est_px,bbox_hdg,los_hdg,d_hdg,bbox_att,los_att,d_att,bbox_range,los_range,d_range,bbox_size,los_size
s01,smooth_10hz_50ms,EKF,smooth,10.00,0.050,1,4.7605,155.3070,150.5465,0.5937,17.8389,17.2451,0.6732,8.7834,8.1102,0.8448,18.6791,17.8343,0.0321,0.0344
s01,smooth_10hz_50ms,UKF,smooth,10.00,0.050,1,6.1245,10.5494,4.4249,0.9853,1.8269,0.8416,0.7947,1.3879,0.5932,1.8222,24.4805,22.6583,0.0559,0.0344
s01,smooth_10hz_50ms,IMM-EKF,smooth,10.00,0.050,1,4.6119,5.4129,0.8010,0.6329,0.6809,0.0481,0.6403,0.7805,0.1402,0.7505,3.5913,2.8408,0.0331,0.0344
s01,smooth_10hz_50ms,IMM-UKF,smooth,10.00,0.050,1,6.3684,11.8811,5.5127,0.9316,2.4641,1.5325,0.8714,1.4100,0.5385,0.8702,9.0478,8.1776,0.0386,0.0344
s02,jink_10hz_50ms,EKF,jink,10.00,0.050,1,5.5707,287.8478,282.2770,0.7428,20.3968,19.6540,0.6428,6.3345,5.6917,1.1040,3.4473,2.3434,0.0582,0.0228
s02,jink_10hz_50ms,UKF,jink,10.00,0.050,1,8.7663,14.0947,5.3285,1.4236,2.3919,0.9683,0.7296,1.0596,0.3301,1.1050,11.5263,10.4213,0.0242,0.0228
s02,jink_10hz_50ms,IMM-EKF,jink,10.00,0.050,1,6.8633,250.9453,244.0820,0.8845,22.8948,22.0103,0.8219,8.3399,7.5180,2.2981,4.8350,2.5370,0.1144,0.0228
s02,jink_10hz_50ms,IMM-UKF,jink,10.00,0.050,1,9.6425,13.6498,4.0073,1.4768,2.2485,0.7716,0.9189,1.0937,0.1749,2.2885,1.4781,-0.8104,0.1172,0.0228
s03,smooth_10hz_150ms,EKF,smooth,10.00,0.150,1,12.1984,159.0339,146.8355,1.8146,21.3542,19.5396,1.7070,9.3802,7.6733,1.0597,19.6324,18.5727,0.0320,0.0344
s03,smooth_10hz_150ms,UKF,smooth,10.00,0.150,1,13.4747,17.6730,4.1983,2.0778,2.8751,0.7972,1.7704,2.4004,0.6299,1.9758,25.0121,23.0363,0.0559,0.0344
s03,smooth_10hz_150ms,IMM-EKF,smooth,10.00,0.150,1,12.3899,14.2306,1.8407,1.9218,1.5958,-0.3260,1.7014,2.1366,0.4352,0.9391,3.8060,2.8669,0.0332,0.0344
s03,smooth_10hz_150ms,IMM-UKF,smooth,10.00,0.150,1,14.6883,19.6936,5.0053,1.9867,3.5781,1.5914,2.0375,2.5383,0.5008,1.0663,9.4399,8.3735,0.0386,0.0344
s04,jink_10hz_150ms,EKF,jink,10.00,0.150,1,14.8028,279.8231,265.0202,1.7868,21.3961,19.6093,1.8616,7.7475,5.8859,1.2126,3.7624,2.5497,0.0581,0.0228
s04,jink_10hz_150ms,UKF,jink,10.00,0.150,1,17.9754,25.1070,7.1316,2.7594,4.1763,1.4169,1.6815,1.9579,0.2765,1.3625,12.0788,10.7163,0.0243,0.0228
s04,jink_10hz_150ms,IMM-EKF,jink,10.00,0.150,1,18.9268,220.1773,201.2506,2.1219,23.6063,21.4843,2.5002,9.8655,7.3652,2.3451,5.1437,2.7985,0.1142,0.0228
s04,jink_10hz_150ms,IMM-UKF,jink,10.00,0.150,1,22.1366,25.1117,2.9750,2.9759,3.8600,0.8842,2.5274,2.3462,-0.1812,2.3481,1.6326,-0.7156,0.1169,0.0228
s05,smooth_20hz_50ms,EKF,smooth,20.00,0.050,1,3.5038,6.0848,2.5810,0.4576,0.5656,0.1080,0.4508,0.9276,0.4768,1.5685,9.4359,7.8674,0.0556,0.0344
s05,smooth_20hz_50ms,UKF,smooth,20.00,0.050,1,3.8875,5.5640,1.6765,0.5749,0.8043,0.2294,0.5070,0.7770,0.2701,1.3318,16.3605,15.0286,0.0686,0.0344
s05,smooth_20hz_50ms,IMM-EKF,smooth,20.00,0.050,1,3.2933,3.2632,-0.0301,0.4713,0.4406,-0.0307,0.4169,0.4204,0.0034,0.7242,1.6979,0.9737,0.0314,0.0344
s05,smooth_20hz_50ms,IMM-UKF,smooth,20.00,0.050,1,4.3280,5.0421,0.7140,0.6650,1.0415,0.3765,0.5746,0.5936,0.0190,1.8638,5.0193,3.1555,0.0910,0.0344
s06,jink_4hz_50ms,EKF,jink,4.00,0.050,1,18.9172,1495.5186,1476.6013,2.4205,40.0439,37.6235,2.2520,8.9908,6.7389,1.0609,9.5034,8.4425,0.0480,0.0228
s06,jink_4hz_50ms,UKF,jink,4.00,0.050,1,68.7340,83.4113,14.6773,10.0965,13.7015,3.6050,6.1217,4.2275,-1.8942,4.6757,31.4962,26.8205,0.0971,0.0228
s06,jink_4hz_50ms,IMM-EKF,jink,4.00,0.050,1,20.2407,514.8119,494.5711,2.5636,27.6539,25.0903,2.4370,4.7953,2.3584,1.2772,7.9871,6.7098,0.0663,0.0228
s06,jink_4hz_50ms,IMM-UKF,jink,4.00,0.050,1,45.7825,90.5559,44.7733,7.0658,14.6875,7.6217,3.9145,4.5678,0.6533,1.0575,55.8497,54.7922,0.0704,0.0228
s07,smooth_10hz_nojitter,EKF,smooth,10.00,0.050,0,4.5735,243.6094,239.0359,0.4034,26.9682,26.5648,0.7166,16.3004,15.5838,0.9145,24.4134,23.4989,0.0387,0.0344
s07,smooth_10hz_nojitter,UKF,smooth,10.00,0.050,0,5.9339,10.5368,4.6029,0.9301,1.7155,0.7854,0.8052,1.4314,0.6262,1.8039,24.8583,23.0544,0.0558,0.0344
s07,smooth_10hz_nojitter,IMM-EKF,smooth,10.00,0.050,0,4.8787,4.5925,-0.2862,0.4697,0.5928,0.1231,0.7573,0.6806,-0.0767,0.7478,4.3252,3.5775,0.0326,0.0344
