scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,timing,period_jit,lat_jit_s,stamp_jit_s,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s01,smooth_10hz_50ms,CV-pixel,CV,px,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,2.1898,1.6083,0.3063,0.2516,0.0000,0.0000,0.0000,0.0000,0.0000,189,0,2000,logs/auto_20260817_134130/runs/s01_CV-pixel.csv
s01,smooth_10hz_50ms,EKF,EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,4.7605,1.6083,0.5937,0.6732,0.8448,0.6796,3.4587,0.0321,1.1650,189,0,2000,logs/auto_20260817_134130/runs/s01_EKF.csv
s01,smooth_10hz_50ms,UKF,UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,6.1245,1.6083,0.9853,0.7947,1.8222,1.6509,5.0249,0.0559,1.2923,189,0,2000,logs/auto_20260817_134130/runs/s01_UKF.csv
s01,smooth_10hz_50ms,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,4.6119,1.6083,0.6329,0.6403,0.7505,0.5627,2.7221,0.0331,0.7986,189,0,2000,logs/auto_20260817_134130/runs/s01_IMM-EKF.csv
s01,smooth_10hz_50ms,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,6.3684,1.6083,0.9316,0.8714,0.8702,0.6218,3.3535,0.0386,0.8948,189,0,2000,logs/auto_20260817_134130/runs/s01_IMM-UKF.csv
s01,smooth_10hz_50ms,EKF-LOS,EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,155.3070,1.6083,17.8389,8.7834,18.6791,12.7132,61.8705,0.0344,11.8536,189,4,2000,logs/auto_20260817_134130/runs/s01_EKF-LOS.csv
s01,smooth_10hz_50ms,UKF-LOS,UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,10.5494,1.6083,1.8269,1.3879,24.4805,21.7054,53.4430,0.0344,7.9843,189,0,2000,logs/auto_20260817_134130/runs/s01_UKF-LOS.csv
s01,smooth_10hz_50ms,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.4129,1.6083,0.6809,0.7805,3.5913,2.6869,10.1704,0.0344,2.2986,189,0,2000,logs/auto_20260817_134130/runs/s01_IMM-EKF-LOS.csv
s01,smooth_10hz_50ms,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,11.8811,1.6083,2.4641,1.4100,9.0478,7.1173,21.5886,0.0344,4.8122,189,0,2000,logs/auto_20260817_134130/runs/s01_IMM-UKF-LOS.csv
s02,jink_10hz_50ms,CV-pixel,CV,px,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,2.1887,1.6090,0.2927,0.2512,0.0000,0.0000,0.0000,0.0000,0.0000,189,0,2000,logs/auto_20260817_134130/runs/s02_CV-pixel.csv
