t_s,stamp_s,t_true,latency_s,period_s,stamp_err_s,u,v,w,h,own_vx,own_vy,own_vz,drone_x,drone_y,drone_z,tgt_x,tgt_y,tgt_z,true_range_m,origin_hdg,origin_att
0.0500,-0.0020,0.0000,0.0453,0.0773,-0.0020,240.343,181.367,7.182,2.000,0.0000,0.0000,0.0000,0.0100,-11.9754,9.9978,6.2785,6.1114,6.0000,19.5472,19.1158,-11.6530
0.1300,0.0800,0.0800,0.0416,0.1365,0.0000,241.645,182.258,6.668,2.000,0.5255,1.2825,-0.1125,0.0596,-11.8549,9.9873,6.7241,6.2900,6.0000,19.7289,20.1681,-11.5131
0.2800,0.2217,0.2200,0.0590,0.0762,0.0017,240.845,182.853,6.997,2.000,1.4002,3.2722,-0.2819,0.2602,-11.3859,9.9469,7.5587,6.6268,6.0000,19.8240,22.0572,-11.3383
0.3500,0.3005,0.3000,0.0435,0.1258,0.0005,241.963,180.268,8.328,2.000,1.8757,4.2772,-0.3645,0.3996,-11.0701,9.9200,7.9476,6.7855,6.0000,19.7699,22.9149,-11.2905
0.4900,0.4305,0.4300,0.0556,0.0996,0.0005,239.648,181.232,8.662,2.000,2.6138,5.7277,-0.4789,0.7614,-10.2768,9.8537,8.7235,7.1071,6.0000,19.4972,24.6084,-11.2518
0.5800,0.5300,0.5300,0.0441,0.1268,0.0000,239.224,181.356,9.414,2.000,3.1548,6.7040,-0.5516,1.0500,-9.6656,9.8035,9.2208,7.3177,6.0000,19.2186,25.6923,-11.2645
0.7100,0.6620,0.6600,0.0458,0.1352,0.0020,240.765,180.647,9.587,2.000,3.8268,7.8114,-0.6283,1.5408,-8.6613,9.7226,9.9363,7.6283,6.0000,18.6921,27.2657,-11.3330
0.8600,0.8010,0.8000,0.0508,0.0643,0.0010,241.873,180.242,10.030,2.000,4.5154,8.8214,-0.6900,2.2106,-7.3492,9.6198,10.7568,7.9980,6.0000,17.9274,29.1104,-11.4878
0.9300,0.8716,0.8700,0.0559,0.1060,0.0016,241.759,181.401,7.933,2.000,4.8475,9.2624,-0.7133,2.5598,-6.6886,9.5693,11.1375,8.1754,6.0000,17.5206,29.9874,-11.5894
1.0400,0.9808,0.9800,0.0582,0.0888,0.0008,240.683,180.938,7.564,2.000,5.3548,9.8770,-0.7403,3.1537,-5.5968,9.4877,11.7325,8.4611,6.0000,16.8258,31.3928,-11.7908
1.1200,1.0713,1.0700,0.0499,0.1363,0.0013,239.204,180.061,6.509,2.000,5.7578,10.3140,-0.7537,3.6196,-4.7665,9.4273,12.1624,8.6746,6.0000,16.2823,32.4381,-11.9726
1.2700,1.2097,1.2100,0.0555,0.1351,-0.0003,239.424,178.864,8.684,2.454,6.3658,10.8865,-0.7596,4.5679,-3.1399,9.3135,12.9612,9.0891,6.0000,15.1892,34.4620,-12.4075
