stamp,kind,label,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,sigma_accel,predict_on,steps,duration_s,est_px_rms,held_px_rms,track_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,rejects,timeseries
20260816_122948,check,EKF_smooth_H0.50_hz10_c0.00,EKF,smooth,0.500,10.00,0.050,1,0.000,8.00,1,3000,30.000,3.7275,8.9457,44.3532,0.3773,0.5432,1.0016,-0.8012,2.6704,0.0499,0.8092,0,logs/20260816_122948_check_EKF_smooth_H0.50_hz10_c0.00.csv
20260816_122948,check,EKF_smooth_H0.50_hz10_c0.60,EKF,smooth,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,3.5681,8.9834,44.3013,0.3217,0.5276,0.8737,0.1865,2.7920,0.0358,0.8632,0,logs/20260816_122948_check_EKF_smooth_H0.50_hz10_c0.60.csv
20260816_122948,check,UKF_smooth_H0.50_hz10_c0.00,UKF,smooth,0.500,10.00,0.050,1,0.000,8.00,1,3000,30.000,4.5641,9.1748,45.3008,0.6122,0.5830,0.8936,0.6098,3.0530,0.0303,1.0050,0,logs/20260816_122948_check_UKF_smooth_H0.50_hz10_c0.00.csv
20260816_122948,check,UKF_smooth_H0.50_hz10_c0.60,UKF,smooth,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,4.5641,9.1748,45.3008,0.6122,0.5830,0.8936,0.6098,3.0530,0.0303,1.0050,0,logs/20260816_122948_check_UKF_smooth_H0.50_hz10_c0.60.csv
20260816_122948,check,EKF_jink_H0.50_hz10_c0.00,EKF,jink,0.500,10.00,0.050,1,0.000,8.00,1,3000,30.000,5.0527,13.8097,60.8027,0.5584,0.6485,2.7394,-2.6623,5.0205,0.1380,1.6199,0,logs/20260816_122948_check_EKF_jink_H0.50_hz10_c0.00.csv
20260816_122949,check,EKF_jink_H0.50_hz10_c0.60,EKF,jink,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,4.8071,13.7691,60.6456,0.5116,0.6312,2.7371,-2.6631,4.8283,0.1382,1.6399,0,logs/20260816_122948_check_EKF_jink_H0.50_hz10_c0.60.csv
20260816_122949,check,UKF_jink_H0.50_hz10_c0.00,UKF,jink,0.500,10.00,0.050,1,0.000,8.00,1,3000,30.000,6.2590,14.1969,62.2119,0.9558,0.5301,1.2030,-0.7531,2.6866,0.0672,1.5969,0,logs/20260816_122949_check_UKF_jink_H0.50_hz10_c0.00.csv
20260816_122949,check,UKF_jink_H0.50_hz10_c0.60,UKF,jink,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,6.2590,14.1969,62.2119,0.9558,0.5301,1.2030,-0.7531,2.6866,0.0672,1.5969,0,logs/20260816_122949_check_UKF_jink_H0.50_hz10_c0.60.csv
20260816_122949,check,CV-pixel_smooth_H0.50_hz10_c0.60,CV-pixel,smooth,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,7.6255,9.6832,44.1826,0.7742,1.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0,logs/20260816_122949_check_CV-pixel_smooth_H0.50_hz10_c0.60.csv
20260816_122949,check,EKF_smooth_H0.50_hz10_c0.60,EKF,smooth,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,3.5681,8.9834,44.3013,0.3217,0.5276,0.8737,0.1865,2.7920,0.0358,0.8632,0,logs/20260816_122949_check_EKF_smooth_H0.50_hz10_c0.60.csv
20260816_122949,check,UKF_smooth_H0.50_hz10_c0.60,UKF,smooth,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,4.5641,9.1748,45.3008,0.6122,0.5830,0.8936,0.6098,3.0530,0.0303,1.0050,0,logs/20260816_122949_check_UKF_smooth_H0.50_hz10_c0.60.csv
20260816_122949,check,IMM-EKF_smooth_H0.50_hz10_c0.60,IMM-EKF,smooth,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,3.8170,8.9377,44.2954,0.3651,0.5589,0.8056,0.1432,2.7627,0.0331,0.7303,0,logs/20260816_122949_check_IMM-EKF_smooth_H0.50_hz10_c0.60.csv
20260816_122949,check,IMM-UKF_smooth_H0.50_hz10_c0.60,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,5.1146,9.0347,44.9798,0.7289,0.6540,0.5975,-0.0481,2.4844,0.0288,0.8293,0,logs/20260816_122949_check_IMM-UKF_smooth_H0.50_hz10_c0.60.csv
20260816_122949,check,CV-pixel_jink_H0.50_hz10_c0.60,CV-pixel,jink,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,8.9193,13.7403,58.3479,1.1171,0.9921,0.0000,0.0000,0.0000,0.0000,0.0000,0,logs/20260816_122949_check_CV-pixel_jink_H0.50_hz10_c0.60.csv
20260816_122949,check,EKF_jink_H0.50_hz10_c0.60,EKF,jink,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,4.8071,13.7691,60.6456,0.5116,0.6312,2.7371,-2.6631,4.8283,0.1382,1.6399,0,logs/20260816_122949_check_EKF_jink_H0.50_hz10_c0.60.csv
20260816_122949,check,UKF_jink_H0.50_hz10_c0.60,UKF,jink,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,6.2590,14.1969,62.2119,0.9558,0.5301,1.2030,-0.7531,2.6866,0.0672,1.5969,0,logs/20260816_122949_check_UKF_jink_H0.50_hz10_c0.60.csv
20260816_122949,check,IMM-EKF_jink_H0.50_hz10_c0.60,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,5.6424,13.9077,61.2088,0.6481,0.7040,2.8789,-2.8272,5.0079,0.1391,1.4168,0,logs/20260816_122949_check_IMM-EKF_jink_H0.50_hz10_c0.60.csv
20260816_122949,check,IMM-UKF_jink_H0.50_hz10_c0.60,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,8.00,1,3000,30.000,7.0920,14.1989,62.4603,0.9970,0.7095,2.4911,-2.3683,5.0784,0.1280,1.3545,0,logs/20260816_122949_check_IMM-UKF_jink_H0.50_hz10_c0.60.csv
20260817_013532,live,EKF_smooth_H0.50,EKF,smooth,0.500,10.00,0.050,1,0.600,8.00,1,6939,69.390,4.2252,8.5552,45.8792,0.4461,0.5755,2.2412,1.9483,4.9365,0.1004,0.9705,0,logs/20260817_013422_live_EKF_smooth_H0.50.csv
20260817_070612,live,EKF_smooth_H0.50,EKF,bbox,smooth,0.500,10.00,0.050,1,0.600,8.00,1,10015,100.150,4.5884,8.8632,46.2376,0.5022,0.6136,1.9684,1.6456,4.7312,0.0887,0.9163,0,1,logs/20260817_070432_live_EKF_smooth_H0.50.csv
20260817_070614,live,EKF_smooth_H0.50,EKF,bbox,smooth,0.500,10.00,0.030,1,0.600,8.00,1,135,1.350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,logs/20260817_070612_live_EKF_smooth_H0.50.csv
20260817_070615,live,EKF_smooth_H0.50,EKF,bbox,smooth,0.500,10.00,0.050,1,0.600,8.00,1,119,1.190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,logs/20260817_070614_live_EKF_smooth_H0.50.csv
20260817_070616,live,EKF_smooth_H0.50,EKF,bbox,smooth,0.500,10.00,0.070,1,0.600,8.00,1,113,1.130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,logs/20260817_070615_live_EKF_smooth_H0.50.csv
20260817_070728,live,EKF_smooth_H0.50,EKF,bbox,smooth,0.500,10.00,0.090,1,0.600,8.00,1,7201,72.010,6.6049,10.3757,49.3722,0.6971,0.8821,1.4945,1.1693,3.6597,0.0589,2.4826,0,1,logs/20260817_070616_live_EKF_smooth_H0.50.csv
20260817_072519,live,EKF_smooth_H0.50,EKF,bbox,smooth,0.500,10.00,0.050,1,0.600,8.00,1,11025,110.250,4.9551,8.9934,46.2137,0.5566,0.6531,2.5943,2.2228,6.2948,0.1179,1.0361,0,1,logs/20260817_072327_live_EKF_smooth_H0.50.csv
